epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1396.83,1.75901,1.12843,1.27221,0.82029,0.63897,0.71642,0.33987,1.83885,1.13138,1.37815,0.0069805,0.0069805,0.0069805
63,1419.41,1.74614,1.11243,1.26926,0.77976,0.63405,0.6997,0.32003,1.85972,1.15852,1.39324,0.006931,0.006931,0.006931
64,1442.13,1.74057,1.13237,1.28376,0.79107,0.65903,0.73535,0.35127,1.83714,1.10307,1.35197,0.0068815,0.0068815,0.0068815
65,1464.24,1.73951,1.10664,1.2576,0.83488,0.60846,0.71962,0.34324,1.83801,1.13282,1.35507,0.006832,0.006832,0.006832
66,1487.79,1.7516,1.11556,1.26842,0.80759,0.61336,0.71238,0.33198,1.87283,1.15115,1.37679,0.0067825,0.0067825,0.0067825
67,1509.98,1.7695,1.13574,1.27263,0.84102,0.62751,0.71775,0.34445,1.84154,1.15313,1.37015,0.006733,0.006733,0.006733
68,1532.66,1.72379,1.10071,1.252,0.807,0.63754,0.72016,0.34804,1.83662,1.14093,1.36122,0.0066835,0.0066835,0.0066835
69,1554.05,1.74825,1.11086,1.27505,0.7764,0.63181,0.72263,0.34986,1.81258,1.10668,1.35286,0.006634,0.006634,0.006634
70,1576.54,1.72492,1.09853,1.26343,0.83301,0.63606,0.72913,0.3534,1.80331,1.10867,1.35404,0.0065845,0.0065845,0.0065845
71,1599.56,1.73562,1.10919,1.28002,0.77699,0.67884,0.73541,0.35038,1.82315,1.13378,1.37093,0.006535,0.006535,0.006535
72,1621.91,1.72254,1.09966,1.27492,0.85616,0.64613,0.74958,0.35983,1.78542,1.08812,1.33634,0.0064855,0.0064855,0.0064855
73,1643.45,1.72878,1.07908,1.26384,0.8073,0.66476,0.73504,0.3501,1.80758,1.09136,1.35072,0.006436,0.006436,0.006436
74,1665.91,1.75031,1.09266,1.27172,0.82985,0.67049,0.74717,0.35318,1.80342,1.09973,1.33005,0.0063865,0.0063865,0.0063865
75,1687.95,1.7306,1.09711,1.26949,0.80139,0.65902,0.74119,0.35475,1.81537,1.07184,1.34143,0.006337,0.006337,0.006337
76,1710.92,1.71475,1.07582,1.26635,0.82253,0.64407,0.73833,0.35874,1.78884,1.0825,1.329,0.0062875,0.0062875,0.0062875
77,1733.54,1.70137,1.04084,1.23737,0.78733,0.68952,0.75148,0.35895,1.81078,1.04907,1.34909,0.006238,0.006238,0.006238
78,1755.59,1.69222,1.04865,1.25197,0.8385,0.66476,0.75929,0.36302,1.78896,1.05863,1.34383,0.0061885,0.0061885,0.0061885
79,1778.23,1.69969,1.04887,1.24411,0.81081,0.65616,0.75278,0.35592,1.83198,1.0688,1.35746,0.006139,0.006139,0.006139
80,1800.67,1.68166,1.03152,1.23014,0.83497,0.66686,0.75048,0.36415,1.81222,1.06928,1.33877,0.0060895,0.0060895,0.0060895
81,1823.05,1.68608,1.0423,1.24509,0.82984,0.67192,0.75895,0.36287,1.83224,1.04705,1.36307,0.00604,0.00604,0.00604
82,1845.19,1.68582,1.02554,1.23411,0.8146,0.68338,0.7616,0.37031,1.78867,1.04122,1.33792,0.0059905,0.0059905,0.0059905
83,1867.77,1.67117,1.02476,1.24293,0.82545,0.69484,0.77116,0.36498,1.80466,1.05112,1.33459,0.005941,0.005941,0.005941
